id,uri,titulo,deputado_.id,deputado_.uri,deputado_.uriPartido,deputado_.nome,deputado_.siglaUf,deputado_.idLegislatura,deputado_.urlFoto,deputado_.codTitulo,deputado_.titulo,dataInicio,dataFim
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,220544,https://dadosabertos.camara.leg.br/api/v2/deputados/220544,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,Antonio Andrade,TO,57,https://www.camara.leg.br/internet/deputado/bandep/220544.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,220638,https://dadosabertos.camara.leg.br/api/v2/deputados/220638,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,Antonio Carlos Rodrigues,SP,57,https://www.camara.leg.br/internet/deputado/bandep/220638.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,74090,https://dadosabertos.camara.leg.br/api/v2/deputados/74090,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,Átila Lins,AM,57,https://www.camara.leg.br/internet/deputado/bandep/74090.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,123086,https://dadosabertos.camara.leg.br/api/v2/deputados/123086,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,Átila Lira,PI,57,https://www.camara.leg.br/internet/deputado/bandep/123086.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,160665,https://dadosabertos.camara.leg.br/api/v2/deputados/160665,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,Augusto Coutinho,PE,57,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,160512,https://dadosabertos.camara.leg.br/api/v2/deputados/160512,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,Aureo Ribeiro,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/160512.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,69871,https://dadosabertos.camara.leg.br/api/v2/deputados/69871,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,Bacelar,BA,57,https://www.camara.leg.br/internet/deputado/bandep/69871.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,73701,https://dadosabertos.camara.leg.br/api/v2/deputados/73701,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,Benedita da Silva,RJ,57,https://www.camara.leg.br/internet/deputado/bandep/73701.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,109429,https://dadosabertos.camara.leg.br/api/v2/deputados/109429,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,Benes Leocádio,RN,57,https://www.camara.leg.br/internet/deputado/bandep/109429.jpg,1004,Membro,null,null
55688,https://dadosabertos.camara.leg.br/api/v2/frentes/55688,Frente Parlamentar Mista em Defesa das Universidades Públicas Estaduais e Municipais,204358,https://dadosabertos.camara.leg.br/api/v2/deputados/204358,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,Beto Pereira,MS,57,https://www.camara.leg.br/internet/deputado/bandep/204358.jpg,1004,Membro,null,null
