ano,codTipo,dataApresentacao,ementa,id,numero,siglaTipo,uri
2003,139,2003-02-18T15:14,"Altera o Decreto-Lei nº 73, de 21 de novembro de 1966, fixando prazo máximo para pagamento de indenização de sinistros por parte das sociedades seguradoras e estabelecendo a multa aplicável no caso de seu descumprimento e dá outras providências.",104417,46,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/104417
2003,139,2003-02-18T16:50,"Proíbe a criação de novos cursos médicos e a ampliação de vagas nos cursos existentes, nos próximos dez anos e dá outras providências.",104485,65,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/104485
2003,139,2003-02-20T14:27,"Acrescenta alíneas ao inciso III do art. 1º da Lei nº 7.960, de 21 de dezembro de 1989, que dispõe sobre prisão temporária.",104798,124,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/104798
2003,139,2003-02-27T14:52,"Garante ao acertador de qualquer tipo de jogo ou aposta, realizado ou autorizado pela loteria federal e/ou loterias estaduais, o direito ao anonimato com relação a identificação do seu nome e imagem em anúncios e/ou informativos.",105313,232,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/105313
2003,139,2003-03-07T10:34,"Disciplina o fornecimento de energia elétrica à agricultura irrigada, às glebas que façam parte de programas de reforma agrária ou que tenham área total de até 10 (dez) hectares, e dá outras providências.",105463,251,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/105463
2003,139,2003-03-12T14:20,"Institui o dia 02 de julho como data histórica no calendário das efemérides nacionais e concede a denominação ""Aeroporto Internacional de Salvador, Dois de Julho"" ao aeroporto internacional de Salvador.",106067,297,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/106067
2003,139,2003-04-02T15:12,"Altera dispositivos da Lei nº 9.648, de 27 de maio de 1998 para criar Fundo de Preservação de Recursos Hídricos.",109288,603,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/109288
2003,139,2003-04-02T17:40,"Revigora a Lei nº 2.689, de 20 de Dezembro de 1955, e  dá  outras providências.                              .",109450,620,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/109450
2003,139,2003-04-08T15:26,"Acrescenta dispositivo ao art. 105 da Lei nº 9.503, de 23 de setembro de 1997, estabelecendo como equipamento obrigatório dos veículos de carga, as barras laterais de proteção.",110106,673,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/110106
2003,139,2003-04-09T19:46,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que ""Institui o Código de Trânsito Brasileiro"", para dispor sobre circulação de veículos de tração e crimes de trânsito.",110593,724,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/110593
2003,136,2003-04-28T11:29,Determina a fixação de limites para gastos com a publicidade de obras governamentais.,113412,38,PEC,https://dadosabertos.camara.leg.br/api/v2/proposicoes/113412
2003,139,2003-05-09T12:00,"Altera os arts. 302 e 303 da Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), a fim de adequar penas aplicáveis a crimes de trânsito às previstas no Código Penal para crimes da mesma natureza daqueles.",115072,968,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/115072
2003,139,2003-05-20T15:57,"Altera a Lei nº 4.771, de 15 de setembro de 1965.",116096,1015,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/116096
2003,139,2003-05-28T17:03,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre o recurso a penalidade de trânsito.",117394,1124,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/117394
2003,139,2003-06-03T17:35,"Revoga o art. 104 da Lei nº 9.503, de 23 de setembro de 1997, extinguindo a inspeção veicular obrigatória, e dá outras providências.",118135,1174,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/118135
2003,140,2003-06-10T14:52,Estabelece limite para a taxa de juros praticada por instituições financeiras nacionais a pessoas físicas e jurídicas.,119037,52,PLP,https://dadosabertos.camara.leg.br/api/v2/proposicoes/119037
2003,139,2003-06-12T00:00,Isenta pessoas reconhecidamente pobres do pagamento de custas e emolumentos para casamento civil.,119930,1257,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/119930
2003,139,2003-06-25T00:00,"Autoriza o uso do gás natural como combustível para os veículos automotores, em todo o território nacional.",121898,1353,PL,https://dadosabertos.camara.leg.br/api/v2/proposicoes/121898
