id,dataHoraInicio,dataHoraFim,descricao,descricaoTipo,situacao,id_orgao_organizador
76130,2025-05-08T14:30:00.000Z,2025-05-08T17:22:00.000Z,"Fim da contribuição previdênciária do servidor aposentado/pensionista.
 (REQ 9/2025 CASP, da deputada Professora Luciene Cavalcante)


1) CARLOS GIANNAZI (Confirmado)
   Deputado Estadual - PSOL
   Assembleia Legislativa do Estado de Sao Paulo

2) CELSO GIANNAZI (Confirmado)
   Vereador de São Paulo
   Câmara Municipal de São Paulo

3) CHICO POLI (Confirmado)
   Presidente
   Sindicato de Especialistas de Educação do Magistério Oficial do Estado de São Paulo | UDEMO

4) GILBERTO PEREIRA (Confirmado)
   Presidente
   Pública Central do Servidor do Distrito Federal

5) JOÃO DOMINGOS GOMES SANTOS (a Confirmar)
   Presidente
   Confederação dos Servidores Públicos do Brasil | CSPB

6) JOÃO PAULO RIBEIRO (Confirmado)
   Secretário do Serviços Públicos e dos Trabalhadores Públicos
   Central dos Trabalhadores e Trabalhadoras do Brasil | CTB

7) NORMA LÚCIA DE ANDRADE DOS SANTOS (Confirmada)
   Presidente
   Sindicato dos Especialistas de Educação do Ensino Público Municipal de São Paulo | SINESP

8) PROF.ª MARIA WALNEIDE ROMANO (Confirmada)
   Presidente
   Associação de Professores Aposentados do Magistério Público do Estado de São Paulo | APAMPESP

9) PROFª DEBORA DIMITROV PEDROMO DOMICIANO (Confirmada)
   Vice-Presidente
   Sindicato dos Professores e Funcionários Municipais de São Paulo | APROFEM

10) SÉRGIO ANTÔNIO KUMPFER (Confirmado)
   Secretário de Aposentados e Assuntos Previdenciários da Confederação Nacional dos Trabalhadores em Educação
   Confederação Nacional dos Trabalhadores em Educação | CNTE

11) REPRESENTANTE (a Confirmar)
   Movimento Twitaço | SP",Audiência Pública,Encerrada (Final),539388
76169,2025-05-07T10:37:00.000Z,2025-05-07T11:00:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2006
76170,2025-05-07T10:27:00.000Z,2025-05-07T10:33:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),2008
76211,2025-05-06T14:10:00.000Z,2025-05-06T16:07:00.000Z,"Debate sobre os prejuízos decorrentes do uso de cigarros eletrônicos por crianças e adolescentes
 REQ Nº 11/2025, do Dep ALLAN GARCÊS

1) RICARDO MEIRELLES (Confirmado - participação por videoconferência)
   Presidente da Comissão de Combate ao Tabagismo
   Associação Médica Brasileira

2) JAQUELINE RIBEIRO SCHOLZ (Confirmada - participação por videoconferência)
   Diretora do Programa de Tratamento ao Tabagismo
   Instituto do Coração - Faculdade de Medicina da USP

3) ALCINDO CERCI NETO (Confirmado)
   Conselheiro Federal pelo Estado do Paraná
   Conselho Federal de Medicina

4) MARIA ENEDINA CLAUDINO AQUINO SCUARCIALUPI (Confirmada)
   Coordenadora da Comissão Científica de Tabagismo
   Sociedade Brasileira de Pneumologia e Tisiologia

5) MARIANA PINHO (Confirmada - participação por videoconferência)
   Coordenadora do Projeto de Controle do Tabaco
   ACT Promoção da Saúde

6) FELIPE LACERDA MENDES (Confirmado - participação por videoconferência)
   Comissão Nacional para Implementação de Convenção-Quadro sobre o Uso do Tabaco e seus Protocolos do Ministério da Saúde",Audiência Pública,Encerrada (Final),539387
75815,2025-05-14T11:44:00.000Z,2025-05-14T12:55:00.000Z,"Homenagem à Procissão do Fogaréu da Cidade de Goiás
 Homenagem à Procissão do Fogaréu da Cidade de Goiás",Sessão Não Deliberativa Solene,Encerrada,180
76294,2025-05-21T14:35:00.000Z,2025-05-21T15:58:00.000Z,Discussão e votação de propostas legislativas.,Reunião Deliberativa,Encerrada (Final),536996
76310,2025-05-21T12:42:00.000Z,2025-05-21T13:31:00.000Z,"Homenagem aos 50 anos de criação da TV Atalaia - afiliada Record em Sergipe
 Homenagem aos 50 anos de criação da TV Atalaia - afiliada Record em Sergipe/PE",Sessão Não Deliberativa Solene,Encerrada,180
76340,2025-05-21T13:00:00.000Z,null,Estrutura Tributária Regressiva: R$ 1 trilhão para os juros da dívida,Reunião Técnica,Convocada,100950
76363,2025-05-21T10:14:00.000Z,2025-05-21T11:42:00.000Z,"Discussão e votação de propostas legislativas
 Importância, planejamentos, propostas e ações da FINEP - Financiadora de Estudos e Projetos. 
Celso Pansera,  Diretor-Presidente da FINEP.",Reunião Deliberativa,Encerrada (Final),2002
76365,2025-05-20T14:40:00.000Z,2025-05-20T14:55:00.000Z,Discussão e votação de propostas legislativas,Reunião Deliberativa,Encerrada (Final),539384
