id,codTipoOrgao,nome,nomePublicacao,apelido,sigla,tipoOrgao
5568,9,"Dispõe sobre a estruturação da Carreira de Inteligência, a remuneração dos integrantes do Quadro de Pessoal da Agência Brasileira de Inteligência - ABIN, e dá outras providências.",MPV42,MPV42,MPV04202,Comissão Medida Provisória
5590,9,"Estabelece exceção ao alcance do art. 2º da Lei nº 10.192, de 14 de fevereiro de 2001, que dispõe sobre medidas complementares ao Plano Real, e dá outras providências.",MPV64,MPV64,MPV06402,Comissão Medida Provisória
5942,9,"Altera dispositivos da Lei nº 8.745, de 9 de dezembro de 1993, e da Lei nº 10.470, de 25 de junho de 2002, cria cargos efetivos, cargos comissionados e gratificações no âmbito da Administração Pública Federal, e dá outras providências.",MPV86,MPV86,MPV08602,Comissão Medida Provisória
302,12000,PCM,PCM,PCM,PCM,Órgão da Câmara dos Deputados
2002,2,"Comissão de Ciência, Tecnologia e Inovação","Comissão de Ciência, Tecnologia e Inovação","Ciência, Tecnologia e Inovação",CCTI,Comissão Permanente
2012,2,Comissão de Minas e Energia,Comissão de Minas e Energia,Minas e Energia,CME,Comissão Permanente
2015,2,Comissão de Trabalho,Comissão de Trabalho,Trabalho,CTRAB,Comissão Permanente
2016,2,Comissão de Viação e Transportes,Comissão de Viação e Transportes,Viação e Transportes,CVT,Comissão Permanente
5504,6,Comissão Mista de Controle das Atividades de Inteligência - CCAI,Comissão Mista de Controle das Atividades de Inteligência,Comissão Mista de Controle das Atividades de Inteligência,CMCCAI,Comissão Mista Permanente
5570,9,"Dispõe sobre a inclusão dos cargos da Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC no Plano de Classificação de Cargos, instituído pela Lei nº 5.645, de 10 de dezembro de 1970.",MPV44,MPV44,MPV04402,Comissão Medida Provisória
5575,9,"Autoriza o Poder Executivo a contratar em nome da União operação de crédito interno e a conceder garantia da União a entidades da administração federal indireta, bem como a Estados, ao Distrito Federal, aos Municípios e às suas entidades da administração indireta, em operação de crédito interno, e dá outras providências.",MPV49,MPV49,MPV04902,Comissão Medida Provisória
5595,9,Dispõe sobre a proteção de informação não divulgada submetida para aprovação da comercialização de produtos e dá outras providências,MPV69,MPV69,MPV06902,Comissão Medida Provisória
340,12000,Consultoria de Orçamento e Fiscalização Financeira da Câmara dos Deputados,Consultoria de Orçamento e Fiscalização Financeira da Câmara,Consultoria de Orçamento e Fiscalização Financeira da Câmara,COFF,Órgão da Câmara dos Deputados
5382,12,PROCURADORIA PARLAMENTAR,PROCURADORIA PARLAMENTAR - 2000/2001,PROCURADORIA PARLAMENTAR - 2000/2001,PROCPARL,Procuradoria Parlamentar
5472,1,Terceira Secretaria,3ª Secretaria da Câmara dos Deputados,3ª Secretaria,3SECM,Comissão Diretora
5578,9,Dispõe sobre a criação da Carreira de Supervisão do Sistema de Saúde e dá outras providências.,MPV52,MPV52,MPV05202,Comissão Medida Provisória
5941,9,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$45.000.000,00, para os fins que especifica.",MPV85,MPV85,MPV08502,Comissão Medida Provisória
5943,9,"Abre crédito extraordinário no valor de R$780.039.000,00, em favor do Ministério dos Transportes, para os fins que especifica.",MPV87,MPV87,MPV08702,Comissão Medida Provisória
301,12000,CONSELHO DE MINISTROS,CONSELHO DE MINISTROS,CONSELHO DE MINISTROS,CM,Órgão da Câmara dos Deputados
481,6,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,CESPACT,Comissão Mista Permanente
5356,11,Conselho da República. (Art. 89 da CF),CONSELHO DA REPÚBLICA,CONSELHO DA REPÚBLICA,CONSE99,Conselho
5503,2,Comissão de Segurança Pública e Combate ao Crime Organizado,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública e Combate ao Crime Organizado,CSPCCO,Comissão Permanente
5591,9,Regulamenta o art. 8º do Ato das Disposições Constitucionais Transitórias e dá outras providências.,MPV65,MPV65,MPV06502,Comissão Medida Provisória
5939,9,Dispõe sobre a concessão da aposentadoria especial ao cooperado de cooperativa de trabalho ou de produção e dá outras providências.,MPV83,MPV83,MPV08302,Comissão Medida Provisória
325,12000,MIC,MIC,MIC,MIC,Órgão da Câmara dos Deputados
2009,2,Comissão de Educação,Comissão de Educação,Educação,CE,Comissão Permanente
5468,1,Primeira Vice-Presidência,1ª Vice-Presidência da Câmara dos Deputados,1ª Vice-Presidência,1VIPR,Comissão Diretora
5592,9,"Dispõe sobre a não cumulatividade na cobrança da contribuição para os Programas de Integração Social (PIS) e de Formação do Patrimônio do Servidor Público (Pasep), nos casos que espedifica; sobre os procedimentos para desconsideração de atos ou negócio jurídicos, para fins tributários; sobre o pagamento e o parcelamento de débitos tributários federais, a compensação de créditos fiscais, a compensação de créditos fiscais, a declaração de inaptidão de inscrição de pessoas jurídicas, a legislação aduaneira, e dá outras providências.",MPV66,MPV66,MPV06602,Comissão Medida Provisória
5593,9,"Dispõe sobre o tratamento tributário dispensado às empresas de transporte aéreo, e dá outras providências.",MPV67,MPV67,MPV06702,Comissão Medida Provisória
5555,9,"Abre crédito extraordinário, no valor de R$ 326.075.000,00, em favor do Ministério de Minas e Energia, para os fins que especifica",MPV40,MPV40,MPV04002,Comissão Medida Provisória
5572,9,"Dispõe sobre a reestruturação da Carreira de Auditoria do Tesouro Nacional, que passa a denominar-se Carreira Auditoria da Receita Federal - ARE, e sobre a organização da Carreira Auditoria-Fiscal da Previdência Social e da Carreira Auditoria-Fiscal do Trabalho, e dá outras providências.",MPV46,MPV46,MPV04602,Comissão Medida Provisória
399,12000,CONSELHO DE MINISTÉRIOS,CONSELHO DE MINISTÉRIOS,CONSELHO DE MINISTÉRIOS,CMIN,Órgão da Câmara dos Deputados
1002,12000,Coordenação de Comissões Temporárias,Coordenação de Comissões Temporárias,Coordenação de Comissões Temporárias,CCT,Órgão da Câmara dos Deputados
2014,2,Comissão de Saúde,Comissão de Saúde,Saúde,CSAUDE,Comissão Permanente
