id_cpi,sigla,descricao,data_inicio,data_fim,duracao_atual_dias,status_prazo
537357,RIC 1/2023,CPI - MST,2023-05-17,2023-09-27,133,Excedeu Prazo Regimental
537311,RIC 3/2023,CPI - Manipulação de Resultados,2023-05-17,2023-09-26,132,Excedeu Prazo Regimental
