id_frente,id_deputado,nome_deputado,partido,uf
53924,178951,Rafael Motta,null,RN
53924,73466,Rubens Bueno,null,PR
53924,92776,Stefano Aguiar,PSD,MG
53924,160976,Tiririca,PSD,SP
53924,178992,Vitor Lippi,PSD,SP
53924,204559,Zé Neto,PT,BA
53914,160528,Danilo Cabral,null,PE
53914,133439,André Figueiredo,PDT,CE
53914,204507,Carla Zambelli,null,SP
53914,164360,Carmen Zanotto,null,SC
53914,178994,Dulce Miranda,null,TO
53914,134812,Edmilson Rodrigues,null,PA
53914,204555,José Ricardo,null,AM
53914,204428,Marília Arraes,null,PE
53914,74160,Patrus Ananias,PT,MG
53914,204383,Professor Israel Batista,null,DF
53914,204362,Ricardo Guidi,PL,SC
53920,160559,Alceu Moreira,MDB,RS
53920,204355,Da Vitoria,PP,ES
53920,134812,Edmilson Rodrigues,null,PA
53920,141421,Eduardo da Fonte,PP,PE
53920,66828,Fausto Pinato,PP,SP
53920,160667,Guilherme Mussi,null,SP
53920,67138,Iracema Portella,null,PI
53920,178843,Marx Beltrão,PP,AL
53920,204366,Rodrigo Coelho,null,SC
53920,73808,Sérgio Brito,PSD,BA
53920,92776,Stefano Aguiar,PSD,MG
53920,178952,Walter Alves,null,RN
53920,160592,Zeca Dirceu,PT,PR
53921,74459,Átila Lira,null,PI
53921,204487,Capitão Wagner,null,CE
53921,178871,Evair Vieira de Melo,PP,ES
53921,204491,Gilberto Abramo,REPUBLICANOS,MG
53921,204373,Hélio Costa,null,SC
53921,67138,Iracema Portella,null,PI
53921,204563,Josimar Maranhãozinho,null,MA
53921,204474,Juarez Costa,REPUBLICANOS,MT
53921,204520,Junio Amaral,PL,MG
53921,98057,Lafayette de Andrada,PL,MG
53921,74585,Lincoln Portela,PL,MG
53921,204471,Mara Rocha,null,AC
53921,204475,Ottaci Nascimento,null,RR
53921,204366,Rodrigo Coelho,null,SC
53921,204416,Sanderson,PL,RS
53921,143084,Tiago Dimas,PODE,TO
53921,160592,Zeca Dirceu,PT,PR
53917,178831,André Abdon,PP,AP
53917,160553,Antonio Brito,PSD,BA
53917,160541,Arthur Lira,PP,AL
53917,141439,Chico D'Angelo,null,RJ
53917,74655,Eduardo Barbosa,null,MG
53917,160587,Fábio Trad,null,MS
53917,204484,General Peternelli,null,SP
53917,74848,Jandira Feghali,PCdoB,RJ
53917,204410,Luisa Canziani,PSD,PR
53917,178843,Marx Beltrão,PP,AL
53917,160651,Rogério Peninha Mendonça,null,SC
53917,204464,Talíria Petrone,PSOL,RJ
53919,160553,Antonio Brito,PSD,BA
53919,204397,Boca Aberta,null,PR
53919,141417,Edio Lopes,null,RR
53919,178959,Hiran Gonçalves,null,RR
53919,178839,Jéssica Sales,null,AC
53919,160619,José Nunes,null,BA
53919,178931,Luciano Ducci,PSB,PR
53919,204558,Marcelo Nilo,REPUBLICANOS,BA
53919,204453,Natália Bonavides,PT,RN
53919,204573,Otto Alencar Filho,null,BA
53919,204446,Professor Joziel,null,RJ
53919,160639,Professora Dorinha Seabra Rezende,null,TO
53919,141531,Rodrigo de Castro,UNIÃO,MG
53919,137070,Vicentinho Júnior,PSDB,TO
53904,204360,Silvia Cristina,PP,RO
53904,204544,Alexandre Frota,null,SP
53904,74057,Alice Portugal,PCdoB,BA
53904,160758,Domingos Sávio,PL,MG
