id_deputado,nome_deputado,uf,total_frentes
220641,Rodrigo Gambale,SP,40
220715,Amom Mandel,AM,40
220594,Coronel Assis,MT,40
220621,Sargento Gonçalves,RN,40
178964,Heitor Schuch,RS,40
160538,Bohn Gass,RS,40
204398,Felipe Francischini,PR,40
220550,Mauricio Marcon,RS,39
220650,Paulo Alexandre Barbosa,SP,39
204456,Gutemberg Reis,RJ,39
220654,Delegado Paulo Bilynskyj,SP,39
178908,Delegado Éder Mauro,PA,39
204407,Fernanda Melchionna,RS,39
178910,Joaquim Passarinho,PA,39
221338,Professora Luciene Cavalcante,SP,39
160161,Marcelo Queiroz,RJ,39
204367,Daniel Freitas,SC,39
204535,Sâmia Bomfim,SP,39
98615,Ismael,SC,39
160635,Ruy Carneiro,PB,38
204390,Professor Alcides,GO,38
73701,Benedita da Silva,RJ,38
220688,Dr. Francisco,PI,38
204525,Rosana Valle,SP,38
74171,Chico Alencar,RJ,38
160632,Zé Silva,MG,38
72442,Felipe Carreras,PE,38
178876,Célio Silveira,GO,38
178881,Aluisio Mendes,MA,38
141458,João Carlos Bacelar,BA,38
160592,Zeca Dirceu,PR,38
204396,Vermelho,PR,37
141464,José Airton Félix Cirilo,CE,37
141531,Rodrigo de Castro,MG,37
141485,Luiz Carlos Busato,RS,37
73801,Renildo Calheiros,PE,37
204511,David Soares,SP,37
220649,Delegado da Cunha,SP,37
220530,Messias Donato,ES,37
220690,Capitão Alden,BA,37
74043,Wellington Roberto,PB,37
74784,Luiza Erundina,SP,37
74537,Claudio Cajado,BA,37
220547,Marcos Pollon,MS,37
204526,Luiz Philippe de Orleans e Bragança,SP,37
220536,Zé Haroldo Cathedral,RR,37
204387,Sargento Fahur,PR,37
204444,Helio Lopes,RJ,36
74371,Rubens Otoni,GO,36
171617,Paulão,AL,36
204534,Tabata Amaral,SP,36
220712,Fausto Jr.,AM,36
204457,Juninho do Pneu,RJ,36
156190,Marcel van Hattem,RS,36
88256,Clodoaldo Magalhães,PE,35
74848,Jandira Feghali,RJ,35
205476,Charles Fernandes,BA,34
160559,Alceu Moreira,RS,34
204356,Amaro Neto,ES,34
220615,Pastor Henrique Vieira,RJ,34
204453,Natália Bonavides,RN,34
