id,numero,siglaTipo,codTipo,dataApresentacao,ano,ementa
275382,4778,PL,139,2005-02-22T14:05:00.000Z,2005,"Dispõe sobre a obrigatoriedade das escolas da rede pública e privada, efetuarem campanhas ""antidrogas"" aos seus alunos e dá outras providências."
295410,5707,PL,139,2005-08-05T16:21:00.000Z,2005,Autoriza a criação da Universidade Federal Rural de Roraima.
316593,6687,PL,139,2006-03-07T17:58:00.000Z,2006,Estabelece passagem subsidiada para estudantes nos transportes coletivos intermunicipais e interestaduais e dá outras providências.
320708,537,PEC,136,2006-04-12T15:34:00.000Z,2006,Altera o § 8º do art. 144 da Constituição Federal.
344640,412,PL,139,2007-03-14T15:26:00.000Z,2007,"Institui o  Dia  Nacional  de  reflexão  do ""Cantando as Diferenças"""
346403,601,PL,139,2007-03-28T18:07:00.000Z,2007,"Dispõe sobre a criação de Programa de Orientação Sexual, de Prevenção das Doenças Sexualmente Transmissíveis e do Uso de Drogas."
346504,612,PL,139,2007-03-29T14:19:00.000Z,2007,Dispõe sobre o uso de sacolas plásticas biodegradáveis para acondicionamento de produtos e mercadorias a serem utilizadas nos estabelecimentos comerciais em todo território nacional.
348415,754,PL,139,2007-04-17T19:24:00.000Z,2007,"Determina às companhias aéreas que atuem no território nacional, que, durante a baixa temporada, concedam desconto de 50% (cinquenta por cento) no preço da passagem a alunos e professores."
117394,1124,PL,139,2003-05-28T17:03:00.000Z,2003,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre o recurso a penalidade de trânsito."
118135,1174,PL,139,2003-06-03T17:35:00.000Z,2003,"Revoga o art. 104 da Lei nº 9.503, de 23 de setembro de 1997, extinguindo a inspeção veicular obrigatória, e dá outras providências."
119037,52,PLP,140,2003-06-10T14:52:00.000Z,2003,Estabelece limite para a taxa de juros praticada por instituições financeiras nacionais a pessoas físicas e jurídicas.
265640,4196,PL,139,2004-10-05T15:35:00.000Z,2004,"Dispõe sobre obrigatoriedade de mensagem de alerta, sobre riscos do uso do aparelho celular em situação de trânsito, nas embalagens do aparelho e respectivos cartões de reabastecimento de crédito."
299788,5882,PL,139,2005-09-13T14:16:00.000Z,2005,Dispõe sobre a proteção do emprego às pessoas negras.
303153,618,PL,139,2005-10-11T14:41:00.000Z,2022,Dispõe sobre o exercício da profissão de Podólogo e dá outras providências.
313378,6590,PL,139,2006-02-02T16:15:00.000Z,2006,"Modifica a Lei nº 8.977, de 6 de janeiro de 1995, proibindo a cobrança de assinatura por pontos adicionais instalados no domicílio do assinante de serviço de TV a cabo."
326706,7171,PL,139,2006-06-01T16:06:00.000Z,2006,"Determina desconto de 50% e isenção nas tarifas de passagens aéreas, marítimas, fluviais e terrestres para os maiores de sessenta e cinco anos e oitenta e cinco anos respectivamente"
328385,555,PEC,136,2006-06-22T12:21:00.000Z,2006,"Revoga o art. 4º da Emenda Constitucional nº 41, de 2003."
346189,584,PL,139,2007-03-27T19:11:00.000Z,2007,"Dispõe sobre a criação de Programa de Orientação Sexual, de Prevenção das Doenças Sexualmente Transmissíveis e do uso de Drogas."
121898,1353,PL,139,2003-06-25T00:00:00.000Z,2003,"Autoriza o uso do gás natural como combustível para os veículos automotores, em todo o território nacional."
250132,142,PRC,444,2004-04-20T00:00:00.000Z,2004,Dá nova redação ao inciso IV do art. 32 do Regimento Interno da Câmara dos Deputados.
304755,6125,PL,139,2005-10-26T18:58:00.000Z,2005,"Dispõe sobre o acompanhamento de paciente, criança ou idoso, durante internação hospitalar, bem como o direito de o acompanhante ter acesso à refeição custeada pelo Sistema Único de Saúde (SUS)."
306155,6184,PL,139,2005-11-10T18:09:00.000Z,2005,"Concede a isenção do Imposto sobre Produtos Industrializados para os veículos destinados ao transporte escolar, mediante alteração na Lei nº 8.989, de 24 de fevereiro de 1995, nas condições que estabelece."
110106,673,PL,139,2003-04-08T15:26:00.000Z,2003,"Acrescenta dispositivo ao art. 105 da Lei nº 9.503, de 23 de setembro de 1997, estabelecendo como equipamento obrigatório dos veículos de carga, as barras laterais de proteção."
143578,1002,PDC,395,2003-11-19T00:00:00.000Z,2003,Convoca Plebiscito para consulta popular da redução ou não da maioridade. .
146256,2638,PL,139,2003-12-01T12:37:00.000Z,2003,"Altera a Lei nº 9.491, de 9 de setembro de 1997, para incluir as empresas estatais do setor elétrico, bancos de desenvolvimento regional e a Empresa Brasileira de Correios e Telégrafos (ECT) entre as instituições para as quais não se aplica a autorização genérica de privatização."
148371,2741,PL,139,2003-12-10T19:35:00.000Z,2003,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre mensagem de advertência impressa na embalagem dos produtos de telefonia celular comercializados no País."
252182,3500,PL,139,2004-05-07T09:22:00.000Z,2004,Veda destinações de recursos de empresas públicas e sociedades de economia mista a pessoas físicas ou jurídicas condenadas por empregar trabalhadores em regime de trabalho análogo à escravidão.
258784,3833,PL,139,2004-06-22T18:01:00.000Z,2004,Concede desconto de 50% (cinqüenta por cento) na aquisição de passagem no sistema de transporte interestadual para estudantes universitários.
307658,6256,PL,139,2005-11-24T17:12:00.000Z,2005,Dispõe sobre a inclusão de educação sexual no currículo das escolas de ensino fundamental.
261798,4015,PL,139,2004-08-11T16:35:00.000Z,2004,"Concede descontos em passagens aéreas e hotéis, aos idosos e às pessoas portadoras deficiência, nos termos que especifica."
343468,296,PL,139,2007-03-05T19:06:00.000Z,2007,"Acrescenta parágrafo ao art. 198 da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1943, para estabelecer o peso máximo permitido para o transporte manual de ensacados e dá outras providências."
