id_orgao,nome_orgao,sigla_orgao,tipo_orgao,apelido_orgao,nome_publicacao
5568,"Dispõe sobre a estruturação da Carreira de Inteligência, a remuneração dos integrantes do Quadro de Pessoal da Agência Brasileira de Inteligência - ABIN, e dá outras providências.",MPV04202,Comissão Medida Provisória,MPV42,MPV42
5590,"Estabelece exceção ao alcance do art. 2º da Lei nº 10.192, de 14 de fevereiro de 2001, que dispõe sobre medidas complementares ao Plano Real, e dá outras providências.",MPV06402,Comissão Medida Provisória,MPV64,MPV64
5942,"Altera dispositivos da Lei nº 8.745, de 9 de dezembro de 1993, e da Lei nº 10.470, de 25 de junho de 2002, cria cargos efetivos, cargos comissionados e gratificações no âmbito da Administração Pública Federal, e dá outras providências.",MPV08602,Comissão Medida Provisória,MPV86,MPV86
302,PCM,PCM,Órgão da Câmara dos Deputados,PCM,PCM
2002,"Comissão de Ciência, Tecnologia e Inovação",CCTI,Comissão Permanente,"Ciência, Tecnologia e Inovação","Comissão de Ciência, Tecnologia e Inovação"
2012,Comissão de Minas e Energia,CME,Comissão Permanente,Minas e Energia,Comissão de Minas e Energia
2015,Comissão de Trabalho,CTRAB,Comissão Permanente,Trabalho,Comissão de Trabalho
2016,Comissão de Viação e Transportes,CVT,Comissão Permanente,Viação e Transportes,Comissão de Viação e Transportes
5504,Comissão Mista de Controle das Atividades de Inteligência - CCAI,CMCCAI,Comissão Mista Permanente,Comissão Mista de Controle das Atividades de Inteligência,Comissão Mista de Controle das Atividades de Inteligência
5570,"Dispõe sobre a inclusão dos cargos da Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC no Plano de Classificação de Cargos, instituído pela Lei nº 5.645, de 10 de dezembro de 1970.",MPV04402,Comissão Medida Provisória,MPV44,MPV44
5575,"Autoriza o Poder Executivo a contratar em nome da União operação de crédito interno e a conceder garantia da União a entidades da administração federal indireta, bem como a Estados, ao Distrito Federal, aos Municípios e às suas entidades da administração indireta, em operação de crédito interno, e dá outras providências.",MPV04902,Comissão Medida Provisória,MPV49,MPV49
5595,Dispõe sobre a proteção de informação não divulgada submetida para aprovação da comercialização de produtos e dá outras providências,MPV06902,Comissão Medida Provisória,MPV69,MPV69
340,Consultoria de Orçamento e Fiscalização Financeira da Câmara dos Deputados,COFF,Órgão da Câmara dos Deputados,Consultoria de Orçamento e Fiscalização Financeira da Câmara,Consultoria de Orçamento e Fiscalização Financeira da Câmara
5382,PROCURADORIA PARLAMENTAR,PROCPARL,Procuradoria Parlamentar,PROCURADORIA PARLAMENTAR - 2000/2001,PROCURADORIA PARLAMENTAR - 2000/2001
5472,Terceira Secretaria,3SECM,Comissão Diretora,3ª Secretaria,3ª Secretaria da Câmara dos Deputados
5578,Dispõe sobre a criação da Carreira de Supervisão do Sistema de Saúde e dá outras providências.,MPV05202,Comissão Medida Provisória,MPV52,MPV52
5941,"Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$45.000.000,00, para os fins que especifica.",MPV08502,Comissão Medida Provisória,MPV85,MPV85
5943,"Abre crédito extraordinário no valor de R$780.039.000,00, em favor do Ministério dos Transportes, para os fins que especifica.",MPV08702,Comissão Medida Provisória,MPV87,MPV87
301,CONSELHO DE MINISTROS,CM,Órgão da Câmara dos Deputados,CONSELHO DE MINISTROS,CONSELHO DE MINISTROS
481,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,CESPACT,Comissão Mista Permanente,CESP - APLICAÇÃO DO CODIGO DE TRANSITO,CESP - APLICAÇÃO DO CODIGO DE TRANSITO
