nome_deputado,uf,categoria,valor_gasto,z_score
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6500,0.2509
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6500,0.2509
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6500,0.2509
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,208.89,0.242
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,305.14,0.2352
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,208.39,0.2296
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,239.63,0.2217
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,208.04,0.221
Bohn Gass,RS,PASSAGEM AÉREA - SIGEPA,1513.49,0.2177
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,303.01,0.2171
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,300.01,0.1917
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,300.02,0.1917
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,300,0.1916
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,300,0.1916
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,300,0.1916
Bohn Gass,RS,PASSAGEM AÉREA - SIGEPA,1462.04,0.1816
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1214.87,0.1814
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,234.17,0.1587
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,233.66,0.1528
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,232.41,0.1384
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,232.19,0.1358
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,231.79,0.1312
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1166.12,0.1309
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,102.23,0.1281
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,102.23,0.1281
Gilberto Nascimento,SP,TELEFONIA,366.07,0.121
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,292.48,0.12
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,291.35,0.1181
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,230.04,0.111
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,1303.2,0.1085
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,290.02,0.1068
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,291.95,0.1038
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,289.5,0.1023
Filipe Martins,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,9900,0.0995
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,1288.57,0.0987
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,100.88,0.0973
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,59.3,0.0941
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,228.01,0.0876
Marangoni,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2843.63,0.0782
Marangoni,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2843.63,0.0782
Marangoni,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2843.63,0.0782
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1112.61,0.0754
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,201.96,0.0708
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,290.46,0.0581
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,290.32,0.0538
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,58,0.0537
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,756.76,0.0478
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,756.76,0.0478
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,756.76,0.0478
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,756.76,0.0478
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,756.76,0.0478
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,224.52,0.0473
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1192.43,0.0341
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,97.9,0.0294
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,1184.82,0.029
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,727.49,0.0277
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,200,0.0224
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,280,0.0216
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1060.32,0.0212
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1055.82,0.0165
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",26.92,0.0162
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,1153.8,0.0081
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,698.44,0.0078
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,96.91,0.0069
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,220.9,0.0056
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1144.06,0.0016
Filipe Martins,TO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,11800,0
Dagoberto Nogueira,MS,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,400,0
Dagoberto Nogueira,MS,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,400,0
Dagoberto Nogueira,MS,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,400,0
Damião Feliciano,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,7000,0
Dagoberto Nogueira,MS,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,400,0
Marangoni,SP,SERVIÇOS POSTAIS,239.1,0
Damião Feliciano,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,7000,0
Bohn Gass,RS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,89.8,0
Bohn Gass,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6700,0
Damião Feliciano,PB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",844,0
Filipe Martins,TO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,11800,0
Filipe Martins,TO,"PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",237.99,0
Damião Feliciano,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,7000,0
Bohn Gass,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,6700,0
Damião Feliciano,PB,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,7000,0
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1134.92,-0.0046
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,669.44,-0.012
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,664.63,-0.0153
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,95.73,-0.02
Marangoni,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2556.87,-0.0203
Marangoni,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2556.87,-0.0203
Marangoni,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2556.87,-0.0203
Gilberto Nascimento,SP,TELEFONIA,351.07,-0.0331
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,635.36,-0.0354
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1000.62,-0.0408
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,1000.62,-0.0408
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,1057.28,-0.0568
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,270.01,-0.0633
Damião Feliciano,PB,PASSAGEM AÉREA - SIGEPA,963.05,-0.0797
Fausto Pinato,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,5600,-0.0824
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,195.58,-0.0868
Sargento Portugal,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,6080,-0.0981
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,211.78,-0.0997
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,53,-0.1014
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,194.51,-0.1132
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",24.92,-0.1191
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,210,-0.1202
Sargento Portugal,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,6000,-0.1231
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,209.2,-0.1294
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,207.8,-0.1456
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,90,-0.1506
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,205.31,-0.1743
Sargento Portugal,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3089.32,-0.1752
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,205.05,-0.1773
Sargento Portugal,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3071.17,-0.1778
Sargento Portugal,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3071.18,-0.1778
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",279,-0.1778
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,191.86,-0.1787
Fausto Pinato,SP,TELEFONIA,336.03,-0.1875
Sargento Portugal,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3000,-0.1881
Sargento Portugal,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,3000,-0.1881
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,2000,-0.1907
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,136,-0.1959
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,500,-0.1998
Sargento Portugal,RJ,PASSAGEM AÉREA - SIGEPA,820.32,-0.2161
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,88,-0.2216
Dagoberto Nogueira,MS,PASSAGEM AÉREA - SIGEPA,88,-0.2216
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,251.04,-0.2245
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,803.44,-0.2274
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,189.64,-0.2335
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",23.22,-0.2341
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200.06,-0.2349
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200.04,-0.2351
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.2356
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,391.49,-0.2615
Welter,PR,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,47.6,-0.2689
Fausto Pinato,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1800,-0.2801
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,244,-0.2843
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,195.47,-0.2879
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",230,-0.2908
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,332.77,-0.2948
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,325.31,-0.2991
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",225,-0.3023
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,194.11,-0.3036
Bohn Gass,RS,COMBUSTÍVEIS E LUBRIFICANTES.,278.63,-0.3044
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,309.07,-0.3083
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,682.2,-0.3089
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,681.53,-0.3094
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,304.83,-0.3107
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,297.91,-0.3146
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,297.94,-0.3146
Sargento Portugal,RJ,COMBUSTÍVEIS E LUBRIFICANTES.,186.29,-0.3162
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21.97,-0.3186
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,282.22,-0.3236
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,279.79,-0.3249
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,274.94,-0.3277
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,274.12,-0.3282
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,272.69,-0.329
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,270.8,-0.3301
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,270.6,-0.3302
Dagoberto Nogueira,MS,COMBUSTÍVEIS E LUBRIFICANTES.,590,-0.3335
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,261.03,-0.3356
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,260.3,-0.336
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,237.6,-0.3387
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1500,-0.3406
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1500,-0.3406
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,252.08,-0.3407
Fausto Pinato,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4900,-0.3417
Fausto Pinato,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4900,-0.3417
Fausto Pinato,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4900,-0.3417
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,250,-0.3419
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,250,-0.3419
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,250,-0.3419
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,250.01,-0.3419
Welter,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,426.8,-0.3429
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,245.48,-0.3444
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4890,-0.3454
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4890,-0.3454
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4890,-0.3454
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4890,-0.3454
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4890,-0.3454
Gilberto Nascimento,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,4890,-0.3454
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,237.45,-0.349
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,228.06,-0.3543
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,228.21,-0.3543
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,225.01,-0.3561
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,224.99,-0.3561
Marangoni,SP,PASSAGEM AÉREA - SIGEPA,162.68,-0.3591
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21.33,-0.3619
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,210.04,-0.3646
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,207.6,-0.366
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,206.6,-0.3665
Sargento Portugal,RJ,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1763.5,-0.3669
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,205.12,-0.3674
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,201.52,-0.3694
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.3703
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,200,-0.3703
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,136,-0.3773
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21.07,-0.3795
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21.07,-0.3795
Pedro Paulo,RJ,PASSAGEM AÉREA - SIGEPA,576.97,-0.3796
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",21.02,-0.3829
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,175.93,-0.384
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,117,-0.3903
Fausto Pinato,SP,PASSAGEM AÉREA - SIGEPA,117,-0.3903
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,117,-0.3903
Dagoberto Nogueira,MS,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,79.46,-0.3908
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,160.77,-0.3926
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,157.57,-0.3944
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,156.97,-0.3947
Welter,PR,COMBUSTÍVEIS E LUBRIFICANTES.,186.18,-0.3951
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,945,-0.3956
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,945,-0.3956
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,945,-0.3956
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,945,-0.3956
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,945,-0.3956
Welter,PR,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",230,-0.3961
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20.81,-0.3971
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,105,-0.3986
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Gilberto Nascimento,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,150,-0.3987
Sargento Portugal,RJ,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",15.5,-0.3991
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,137.73,-0.4057
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20.68,-0.4059
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",180,-0.4061
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",180,-0.4061
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,130,-0.4101
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20.6,-0.4113
Bohn Gass,RS,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",20.58,-0.4127
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Marangoni,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,120,-0.4157
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,116.8,-0.4176
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,115,-0.4186
Gilberto Nascimento,SP,PASSAGEM AÉREA - SIGEPA,75,-0.4191
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,110,-0.4214
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,110,-0.4214
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,880.38,-0.4234
Gilberto Nascimento,SP,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1374.5,-0.4261
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,100,-0.4271
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,100,-0.4271
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,100,-0.4271
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,100,-0.4271
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,100,-0.4271
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,100,-0.4271
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1200,-0.4305
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1200,-0.4305
Welter,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,1200,-0.4305
Filipe Martins,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,4250,-0.4317
Filipe Martins,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,4250,-0.4317
Filipe Martins,TO,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,4250,-0.4317
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,90.55,-0.4325
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,90,-0.4328
Fausto Pinato,SP,COMBUSTÍVEIS E LUBRIFICANTES.,90,-0.4328
Welter,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,334.49,-0.4348
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",165,-0.4407
Bohn Gass,RS,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",165,-0.4407
Dagoberto Nogueira,MS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,836.56,-0.4422
Filipe Martins,TO,COMBUSTÍVEIS E LUBRIFICANTES.,225.32,-0.4431
